province,category,quarter,contract_count,median_value,mean_value,total_value,std_value,reliability_tier,opportunity_score,pct_of_national_spend,value_rank,quarter_label,gauteng_flag,median_value_fmt,total_value_fmt
Kwazulu-Natal,Unknown,2,22,16401765.0,386119055.22727275,8494619215.0,1117823164.3734984,High Confidence,17.4435,0.271,47,Q2 (Apr-Jun),0,R16.40M,R8.49B
Eastern Cape,Works,2,50,14603146.5,86113107.05520001,4305655352.76,133575702.29713528,High Confidence,17.3216,0.137,48,Q2 (Apr-Jun),0,R14.60M,R4.31B
Gauteng,Services,2,104,14600250.0,394141880.4263461,40990755564.34,1255539501.426281,High Confidence,17.3214,1.308,49,Q2 (Apr-Jun),1,R14.60M,R40.99B
Gauteng,Works,2,34,13609802.5,1547674992.8014705,52620949755.25,4750077667.094201,High Confidence,17.2476,1.679,50,Q2 (Apr-Jun),1,R13.61M,R52.62B
National,Goods,2,16,12786505.0,488125203.4375,7810003255.0,1522706910.1454716,High Confidence,17.1821,0.249,51,Q2 (Apr-Jun),0,R12.79M,R7.81B
Kwazulu-Natal,Goods,3,25,1595000.0,331758021.93799996,8293950548.45,1521806674.387813,High Confidence,17.1389,0.265,52,Q3 (Jul-Sep),0,R1.59M,R8.29B
Limpopo,Unknown,2,14,11718085.0,46083425.64285714,645167959.0,106886773.78835873,High Confidence,17.0905,0.021,53,Q2 (Apr-Jun),0,R11.72M,R645.17M
Eastern Cape,Services,2,48,11155329.0,221463457.67083335,10630245968.2,716327433.8623595,High Confidence,17.0388,0.339,54,Q2 (Apr-Jun),0,R11.16M,R10.63B
Limpopo,Goods,4,37,50000000.0,54131998.86486486,2002883958.0,74510604.47190262,High Confidence,16.8412,0.064,55,Q4 (Oct-Dec),0,R50.00M,R2.00B
Kwazulu-Natal,Services,2,72,9047500.0,201744820.71472222,14525627091.46,653638591.0063752,High Confidence,16.8189,0.463,56,Q2 (Apr-Jun),0,R9.05M,R14.53B
Western Cape,Goods,2,40,8029619.0,145990365.867,5839614634.68,550722437.8114102,High Confidence,16.6936,0.186,57,Q2 (Apr-Jun),0,R8.03M,R5.84B
Gauteng,Services,4,119,39597240.0,407141443.2562185,48449831747.49,1177835626.1594386,High Confidence,16.6196,1.545,58,Q4 (Oct-Dec),1,R39.60M,R48.45B
Kwazulu-Natal,Goods,4,15,39000000.0,524999574.8666667,7874993623.0,1212952111.411739,High Confidence,16.6051,0.251,59,Q4 (Oct-Dec),0,R39.00M,R7.87B
Kwazulu-Natal,Goods,2,21,7376149.0,47828124.28571428,1004390610.0,112942689.06542052,High Confidence,16.6045,0.032,60,Q2 (Apr-Jun),0,R7.38M,R1.00B
National,Services,2,56,7351593.5,240276930.86999997,13455508128.72,610441439.4914232,High Confidence,16.6009,0.429,61,Q2 (Apr-Jun),0,R7.35M,R13.46B
Kwazulu-Natal,Works,2,101,7350038.0,205723905.53465346,20778114459.0,558309904.0498128,High Confidence,16.6007,0.663,62,Q2 (Apr-Jun),0,R7.35M,R20.78B
National,Goods,4,18,38279636.5,9569054297.777779,172242977360.0,39030115739.757324,High Confidence,16.5874,5.494,63,Q4 (Oct-Dec),0,R38.28M,R172.24B
Free State,Services,4,16,30022355.0,303617963.671875,4857887418.75,721288569.3501325,High Confidence,16.3566,0.155,64,Q4 (Oct-Dec),0,R30.02M,R4.86B
Western Cape,Works,4,39,29468010.0,495632071.74358976,19329650798.0,1362800510.2502656,High Confidence,16.3389,0.617,65,Q4 (Oct-Dec),0,R29.47M,R19.33B
National,Unknown,4,75,26496680.0,378881949.8666667,28416146240.0,1824440850.1821373,High Confidence,16.2379,0.906,66,Q4 (Oct-Dec),0,R26.50M,R28.42B
Eastern Cape,Unknown,2,19,4659566.0,132949576.42105263,2526041952.0,260337282.13633892,High Confidence,16.1222,0.081,67,Q2 (Apr-Jun),0,R4.66M,R2.53B
Western Cape,Services,4,68,21495968.0,1212293023.7794118,82435925617.0,5450884117.017233,High Confidence,16.0392,2.63,68,Q4 (Oct-Dec),0,R21.50M,R82.44B
National,Services,4,69,21256485.0,412658663.20289856,28473447761.0,1141994040.1202612,High Confidence,16.0286,0.908,69,Q4 (Oct-Dec),0,R21.26M,R28.47B
National,Works,1,12,122443351.0,12384202179.833334,148610426158.0,27382812148.916584,High Confidence,15.8297,4.74,70,Q1 (Jan-Mar),0,R122.44M,R148.61B
Mpumalanga,Unknown,1,10,118028943.5,1822896738.4,18228967384.0,5438769811.235684,High Confidence,15.7985,0.581,71,Q1 (Jan-Mar),0,R118.03M,R18.23B
Gauteng,Goods,2,68,3417230.0,139761966.9375,9503813751.75,391266458.6941947,High Confidence,15.7966,0.303,72,Q2 (Apr-Jun),1,R3.42M,R9.50B
Limpopo,Unknown,4,15,16000000.0,228194389.4,3422915841.0,692923504.2250994,High Confidence,15.7587,0.109,73,Q4 (Oct-Dec),0,R16.00M,R3.42B
Eastern Cape,Goods,2,26,3269415.0,23476347.269230768,610385029.0,45020597.524718754,High Confidence,15.7501,0.019,74,Q2 (Apr-Jun),0,R3.27M,R610.39M
Gauteng,Unknown,4,61,14299390.0,152083904.1939344,9277118155.83,374672534.5809938,High Confidence,15.6519,0.296,75,Q4 (Oct-Dec),1,R14.30M,R9.28B
Gauteng,Goods,4,41,14079709.0,230526463.57829267,9451585006.71,690373483.2543489,High Confidence,15.6372,0.301,76,Q4 (Oct-Dec),1,R14.08M,R9.45B
Limpopo,Services,1,18,90000000.0,288822873.0,5198811714.0,565308083.6110369,High Confidence,15.568,0.166,77,Q1 (Jan-Mar),0,R90.00M,R5.20B
Eastern Cape,Works,1,53,73448700.0,372777118.245283,19757187267.0,669204774.8522762,High Confidence,15.3953,0.63,78,Q1 (Jan-Mar),0,R73.45M,R19.76B
Mpumalanga,Services,1,16,58827275.0,1348178750.625,21570860010.0,2717399833.1041346,High Confidence,15.2066,0.688,79,Q1 (Jan-Mar),0,R58.83M,R21.57B
Gauteng,Works,4,31,8595660.0,1013574167.4074194,31420799189.63,3941254601.2961044,High Confidence,15.1684,1.002,80,Q4 (Oct-Dec),1,R8.60M,R31.42B
Eastern Cape,Services,4,60,8532945.0,222396357.55466667,13343781453.28,706646718.3743099,High Confidence,15.1615,0.426,81,Q4 (Oct-Dec),0,R8.53M,R13.34B
Western Cape,Works,1,17,48607419.0,1275003973.4117646,21675067548.0,4281244949.2187667,High Confidence,15.0444,0.691,82,Q1 (Jan-Mar),0,R48.61M,R21.68B
Eastern Cape,Goods,1,13,34500000.0,1743608336.3076923,22666908372.0,5912661225.985193,High Confidence,14.753,0.723,83,Q1 (Jan-Mar),0,R34.50M,R22.67B
Eastern Cape,Unknown,4,19,5388681.0,69229403.63157895,1315358669.0,232140687.36087453,High Confidence,14.7248,0.042,84,Q4 (Oct-Dec),0,R5.39M,R1.32B
Western Cape,Goods,4,27,5318750.0,112254964.71444444,3030884047.29,281566168.2101685,High Confidence,14.7124,0.097,85,Q4 (Oct-Dec),0,R5.32M,R3.03B
Western Cape,Unknown,4,27,5220310.0,63882068.59259259,1724815852.0,105733923.75576769,High Confidence,14.6947,0.055,86,Q4 (Oct-Dec),0,R5.22M,R1.72B
National,Goods,1,20,31807159.0,479144639.4,9582892788.0,1320445536.8791687,High Confidence,14.6839,0.306,87,Q1 (Jan-Mar),0,R31.81M,R9.58B
Kwazulu-Natal,Works,1,40,29460940.0,1045143689.275,41805747571.0,4473424609.182072,High Confidence,14.6188,1.334,88,Q1 (Jan-Mar),0,R29.46M,R41.81B
Kwazulu-Natal,Services,4,107,4483105.0,798546434.6542056,85444468508.0,5013932081.7970705,High Confidence,14.55,2.726,89,Q4 (Oct-Dec),0,R4.48M,R85.44B
National,Unknown,1,56,26143662.5,139113750.32964286,7790370018.46,250900719.14766386,High Confidence,14.5172,0.249,90,Q1 (Jan-Mar),0,R26.14M,R7.79B
Limpopo,Works,1,35,25950901.0,218012592.08571428,7630440723.0,751719256.1380461,High Confidence,14.511,0.243,91,Q1 (Jan-Mar),0,R25.95M,R7.63B
Eastern Cape,Goods,4,23,4280870.0,596767593.4782609,13725654650.0,2168740964.940834,High Confidence,14.5062,0.438,92,Q4 (Oct-Dec),0,R4.28M,R13.73B
Gauteng,Services,1,85,25000000.0,266286653.9882353,22634365589.0,879667194.9958223,High Confidence,14.4792,0.722,93,Q1 (Jan-Mar),1,R25.00M,R22.63B
Limpopo,Services,4,21,4126614.0,94771920.85714285,1990210338.0,166899779.88643008,High Confidence,14.4713,0.063,94,Q4 (Oct-Dec),0,R4.13M,R1.99B
Gauteng,Goods,1,31,20850000.0,231247899.41935483,7168684882.0,439128355.0676833,High Confidence,14.3249,0.229,95,Q1 (Jan-Mar),1,R20.85M,R7.17B
Western Cape,Services,1,80,20436370.5,158836479.19625002,12706918335.7,364969364.78803873,High Confidence,14.3079,0.405,96,Q1 (Jan-Mar),0,R20.44M,R12.71B
Northern Cape,Services,4,14,3411815.5,136283571.2142857,1907969997.0,233962180.36460912,High Confidence,14.2906,0.061,97,Q4 (Oct-Dec),0,R3.41M,R1.91B
Gauteng,Works,1,23,19906294.0,4655249548.26087,107070739610.0,21515741234.892685,High Confidence,14.2856,3.415,98,Q1 (Jan-Mar),1,R19.91M,R107.07B
Limpopo,Unknown,1,12,18233005.0,161376072.5,1936512870.0,432236911.7937462,High Confidence,14.2109,0.062,99,Q1 (Jan-Mar),0,R18.23M,R1.94B
Eastern Cape,Unknown,1,11,17176980.0,61797168.10636363,679768849.17,74259637.65260263,High Confidence,14.1602,0.022,100,Q1 (Jan-Mar),0,R17.18M,R679.77M
Kwazulu-Natal,Goods,1,24,16980670.0,95211943.0,2285086632.0,296511513.6020417,High Confidence,14.1504,0.073,101,Q1 (Jan-Mar),0,R16.98M,R2.29B
Western Cape,Goods,1,44,15174400.0,79124967.50545456,3481498570.2400002,187268568.88415164,High Confidence,14.0549,0.111,102,Q1 (Jan-Mar),0,R15.17M,R3.48B
Gauteng,Unknown,1,62,12700000.0,256178916.76564515,15883092839.47,660251767.98312,High Confidence,13.9035,0.507,103,Q1 (Jan-Mar),1,R12.70M,R15.88B
Eastern Cape,Services,1,63,11997460.0,506391877.78253967,31902688300.3,2452977630.1954813,High Confidence,13.8552,1.018,104,Q1 (Jan-Mar),0,R12.00M,R31.90B
Free State,Works,3,9,204941518.0,1156504884.5455556,10408543960.91,1347029601.6742768,Reliable,13.7795,0.332,105,Q3 (Jul-Sep),0,R204.94M,R10.41B
Kwazulu-Natal,Unknown,1,26,9312500.0,1439531308.8846154,37427814031.0,4823574066.9233,High Confidence,13.6398,1.194,106,Q1 (Jan-Mar),0,R9.31M,R37.43B
Kwazulu-Natal,Services,1,47,6162020.0,498599804.7446808,23434190823.0,2214323356.8793554,High Confidence,13.2888,0.748,107,Q1 (Jan-Mar),0,R6.16M,R23.43B
National,Services,1,50,5924310.5,555806085.472,27790304273.6,2137184086.5735965,High Confidence,13.2554,0.886,108,Q1 (Jan-Mar),0,R5.92M,R27.79B
Western Cape,Unknown,1,24,4696243.5,33125158.166666668,795003796.0,64702882.934202604,High Confidence,13.0579,0.025,109,Q1 (Jan-Mar),0,R4.70M,R795.00M
Kwazulu-Natal,Unknown,4,18,913837.5,39070961.44444445,703277306.0,103695393.80122899,High Confidence,13.0391,0.022,110,Q4 (Oct-Dec),0,R913.8K,R703.28M
Mpumalanga,Goods,3,7,25908060.0,724985871.8571428,5074901103.0,1274938322.7993526,Reliable,12.2904,0.162,111,Q3 (Jul-Sep),0,R25.91M,R5.07B
Northern Cape,Works,3,8,17167220.0,324103671.17125,2592829369.37,855004031.9095848,Reliable,11.9941,0.083,112,Q3 (Jul-Sep),0,R17.17M,R2.59B
Mpumalanga,Goods,2,8,170237052.5,474538462.25,3796307698.0,628610423.8828951,Reliable,11.9402,0.121,113,Q2 (Apr-Jun),0,R170.24M,R3.80B
North West,Unknown,3,9,12000000.0,640675960.8888888,5766083648.0,1364255013.90949,Reliable,11.7363,0.184,114,Q3 (Jul-Sep),0,R12.00M,R5.77B
Free State,Works,2,7,95990500.0,948537165.8571428,6639760161.0,2125023610.3345566,Reliable,11.5792,0.212,115,Q2 (Apr-Jun),0,R95.99M,R6.64B
North West,Unknown,2,5,69000000.0,212212007.4,1061060037.0,373649258.3179612,Reliable,11.3713,0.034,116,Q2 (Apr-Jun),0,R69.00M,R1.06B
Northern Cape,Works,4,6,283438430.0,254793060.66666666,1528758364.0,168896984.52786395,Reliable,11.0936,0.049,117,Q4 (Oct-Dec),0,R283.44M,R1.53B
