id,name,main_ocid,main_id,tender_id
23872,MAAA0387200 - (GROWTH EDGE CONSTRUCTION GROUP),ocds-9t57fa-114223,ocds-9t57fa-114223-2025-02-10T00:00:00Z,114223
23649,MAAA0321154 - (AVIATION CENTER FOR LEARNING),ocds-9t57fa-114316,ocds-9t57fa-114316-2025-02-11T00:00:00Z,114316
23842,ANCHOR RESEARCH AND MONITORING,ocds-9t57fa-115598,ocds-9t57fa-115598-2025-02-11T00:00:00Z,115598
24144,MAAA0731355 - (COMMUTER FM),ocds-9t57fa-115818,ocds-9t57fa-115818-2025-02-25T00:00:00Z,115818
24682,"Insight Giant, Tloumogale Business Development, Dyna Training, Task Business Consulting, Imvusa Trading, HR Consulting, MSI Project Management, Smelokuhle Project Consulting, SPS International, Tipping Gate Business Solutions ",ocds-9t57fa-116394,ocds-9t57fa-116394-2025-03-04T00:00:00Z,116394
23878,MAAA0035546 - (MZUYA-CONSTRUCTION),ocds-9t57fa-116958,ocds-9t57fa-116958-2024-09-10T00:00:00Z,116958
24608,MAAA0947020 - OUTSIDE BROADCASTING FACILITIES,ocds-9t57fa-117015,ocds-9t57fa-117015-2025-03-10T00:00:00Z,117015
24609,MAAA0472050 - TMMMED HEALTH,ocds-9t57fa-117018,ocds-9t57fa-117018-2025-03-10T00:00:00Z,117018
24588,Centpret Properties (Pty) Ltd,ocds-9t57fa-117028,ocds-9t57fa-117028-2025-03-10T00:00:00Z,117028
24634,MAAA0374945 - (GEZINSILA LABOUR AND PROTECTION SERVICES),ocds-9t57fa-117375,ocds-9t57fa-117375-2024-10-14T00:00:00Z,117375
24440,MAAA0150554 - (PK VISIBLE),ocds-9t57fa-117698,ocds-9t57fa-117698-2025-03-17T00:00:00Z,117698
24801,STRATEGIC DIMENSION,ocds-9t57fa-117731,ocds-9t57fa-117731-2025-03-17T00:00:00Z,117731
24210,MAAA1173455 - (SOUTHSTAR SERVICES),ocds-9t57fa-118231,ocds-9t57fa-118231-2024-12-23T00:00:00Z,118231
25609,AVIAREPS,ocds-9t57fa-118416,ocds-9t57fa-118416-2025-03-25T00:00:00Z,118416
24699,MAAA1478391 - (IMVULA YOMUSA CONSULTING),ocds-9t57fa-118944,ocds-9t57fa-118944-2025-04-01T00:00:00Z,118944
24411,Total Smart Solutions,ocds-9t57fa-119179,ocds-9t57fa-119179-2025-03-04T00:00:00Z,119179
25148,Enable HUB PTY LTD ,ocds-9t57fa-120585,ocds-9t57fa-120585-2025-04-22T00:00:00Z,120585
25103,MAAA0645107 - (TAURIS GARDEN TRADING 500),ocds-9t57fa-123411,ocds-9t57fa-123411-2025-03-10T00:00:00Z,123411
25529,Orifha Audio Visual- R2 922 917.40,ocds-9t57fa-125191,ocds-9t57fa-125191-2025-06-17T00:00:00Z,125191
26281,MAAA0003665 - (ISF CONSTRUCTION SERVICES),ocds-9t57fa-125842,ocds-9t57fa-125842-2025-06-24T00:00:00Z,125842
25871,1. BAALPERAZIM SPARES AND SUPPLIERS PTY LTD-R77 337.50,ocds-9t57fa-126435,ocds-9t57fa-126435-2025-06-30T00:00:00Z,126435
26054,MAAA0102903 - (C T LAB),ocds-9t57fa-128671,ocds-9t57fa-128671-2025-07-01T00:00:00Z,128671
26018,MAAA0021291 - (LTC TECH SOUTH AFRICA),ocds-9t57fa-129444,ocds-9t57fa-129444-2025-06-30T00:00:00Z,129444
26806,1	iQserve(Pty) Ltd T/A EquityRT South Africa		 2	James And Doyle Business Trading		 3	Bloomberg Finance L.P		,ocds-9t57fa-131255,ocds-9t57fa-131255-2025-08-22T00:00:00Z,131255
26323,MAAA0477960,ocds-9t57fa-131515,ocds-9t57fa-131515-2025-06-23T00:00:00Z,131515
26510,Zinawe Consulting Services (PTY) Ltd,ocds-9t57fa-131840,ocds-9t57fa-131840-2025-08-25T00:00:00Z,131840
27035,North West University,ocds-9t57fa-132506,ocds-9t57fa-132506-2025-09-01T00:00:00Z,132506
27138,MAAA0531971 - (SKY METRO EQUIPMENT)  R 3 197 189.16 - LEASE TO OWN,ocds-9t57fa-134655,ocds-9t57fa-134655-2025-09-22T00:00:00Z,134655
27542,MAAA1621922 - (IKHWEZI LX),ocds-9t57fa-135318,ocds-9t57fa-135318-2025-09-30T00:00:00Z,135318
27499,ORACLE MEDICAL (PTY) LTD,ocds-9t57fa-135919,ocds-9t57fa-135919-2025-10-06T00:00:00Z,135919
27179,Harold ,ocds-9t57fa-136095,ocds-9t57fa-136095-2025-10-07T00:00:00Z,136095
27804,MAAA0326162 - (SEPHURENG TRADING AND PROJECTS),ocds-9t57fa-136125,ocds-9t57fa-136125-2025-10-07T00:00:00Z,136125
3408,Fidelity Security Services (Pty) Ltd,ocds-9t57fa-13699,ocds-9t57fa-13699-2021-12-07T00:00:00Z,13699
8228,Rain Chartered Accountants Inc,ocds-9t57fa-19524,ocds-9t57fa-19524-2022-03-22T00:00:00Z,19524
3387,KUSELA SOLUTIONS 9PTY) LTD,ocds-9t57fa-21750,ocds-9t57fa-21750-2022-05-17T00:00:00Z,21750
9049,Datacentrix (Pty) Ltd Gijima Holdings (Pty) Ltd DELL Computor (Pty) Ltd New Dawn Technologies (Pty) Ltd First Technology Kwazulu Natal Pty Ltd IOT World Busness Connexion (Pty) Ltd Dimension Data (Pty) Ltd    Sizwe Africa IT Group Pty Ltd,ocds-9t57fa-23098,ocds-9t57fa-23098-2017-10-11T00:00:00Z,23098
4388,GTM Computer Surgeon cc.,ocds-9t57fa-25579,ocds-9t57fa-25579-2022-07-05T00:00:00Z,25579
9160,Melvyn Miles media,ocds-9t57fa-26211,ocds-9t57fa-26211-2022-07-12T00:00:00Z,26211
6519,Performance Development Institute (Pty) Ltd,ocds-9t57fa-26222,ocds-9t57fa-26222-2022-07-12T00:00:00Z,26222
6223,LIST OF RECEIVED BIDS,ocds-9t57fa-26243,ocds-9t57fa-26243-2022-07-12T00:00:00Z,26243
3944,MVM Hart General Trading,ocds-9t57fa-27932,ocds-9t57fa-27932-2017-02-04T00:00:00Z,27932
10862,IKUSASA ENGINEERING SOLUTIONS ,ocds-9t57fa-28055,ocds-9t57fa-28055-2022-08-02T00:00:00Z,28055
4591,Actom (Pty) Ltd t/a Actom Electrical Products,ocds-9t57fa-31225,ocds-9t57fa-31225-2022-08-29T00:00:00Z,31225
