id,title,description,status,value_amount,value_currency,main_ocid,main_id
46620," IZANI TRAVEL, MAAA0233519 EMBASSY TRAVEL JOINT VENTURE",EME,active,82260.0,ZAR,ocds-9t57fa-108685,ocds-9t57fa-108685-2024-11-19T00:00:00Z
51371,SINOHYDRO CONSULTANTS,EME,active,386778810.0,ZAR,ocds-9t57fa-108693,ocds-9t57fa-108693-2024-11-19T00:00:00Z
44657, (DUDUMASEZILENTI FAMILY GROUP),EME,active,71500.0,ZAR,ocds-9t57fa-108705,ocds-9t57fa-108705-2024-11-19T00:00:00Z
39691, (UBER TECHNOLOGIES),QSE,active,3493125.0,ZAR,ocds-9t57fa-108792,ocds-9t57fa-108792-2024-11-19T00:00:00Z
54419,NAPYADI ENGINEERING AND SHEQ SOLUTIONS,EME,active,100.0,ZAR,ocds-9t57fa-109504,ocds-9t57fa-109504-2024-11-26T00:00:00Z
54423,PICABIZ 367,EME,active,100.0,ZAR,ocds-9t57fa-109504,ocds-9t57fa-109504-2024-11-26T00:00:00Z
53960,4CUS GROUP,Qualifying Small Enterprise (QSE,active,100.0,ZAR,ocds-9t57fa-109892,ocds-9t57fa-109892-2024-11-29T00:00:00Z
52035,TOURVEST HOLDINGS,GEN,active,554415.0,ZAR,ocds-9t57fa-109987,ocds-9t57fa-109987-2024-12-02T00:00:00Z
40111, (LEADERSHIP ACADEMY FOR GUARDIANS OF GOVERNANCE),EME,active,603865.0,ZAR,ocds-9t57fa-110020,ocds-9t57fa-110020-2024-12-02T00:00:00Z
62502,THULUMKAHLE TRADING ENTERPRISE,EME,active,618037212.0,ZAR,ocds-9t57fa-110060,ocds-9t57fa-110060-2024-12-02T00:00:00Z
2831,IT MONKEY,EME,active,0.0,ZAR,ocds-9t57fa-11040,ocds-9t57fa-11040-2021-11-08T00:00:00Z
51660,PROTSEC,EME,active,3150000.0,ZAR,ocds-9t57fa-110481,ocds-9t57fa-110481-2024-12-09T00:00:00Z
45978, DARTINGO TRADING 226,QSE,active,1617614150.0,ZAR,ocds-9t57fa-110496,ocds-9t57fa-110496-2024-12-09T00:00:00Z
47186, BENAL PROPERTY INVESTMENTS,EME,active,1214671680.0,ZAR,ocds-9t57fa-110523,ocds-9t57fa-110523-2024-12-09T00:00:00Z
49246,45TH MEDIA,EME,active,0.0,ZAR,ocds-9t57fa-110534,ocds-9t57fa-110534-2024-12-09T00:00:00Z
49253,AFRICAN PROFICIENT SOFTWARE,Qualifying Small Enterprise (QSE) ,active,0.0,ZAR,ocds-9t57fa-110534,ocds-9t57fa-110534-2024-12-09T00:00:00Z
45466, SKYLAR PROJECTS,EME,active,78100000.0,ZAR,ocds-9t57fa-110635,ocds-9t57fa-110635-2024-12-10T00:00:00Z
48867,LUCKY STAR*,GEN,active,496829341.0,ZAR,ocds-9t57fa-110644,ocds-9t57fa-110644-2024-12-10T00:00:00Z
43466, (VUKAMNDLOVU TRADING),EME,active,2010177.0,ZAR,ocds-9t57fa-110820,ocds-9t57fa-110820-2024-06-24T00:00:00Z
